Date : 2024-05-23 17:29:33
Directory : /Users/zaid/Bloom/bloom/src
Total : 99 files,  5929 codes, 182 comments, 730 blanks, all 6841 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| TypeScript JSX |         95 |      5,722 |        174 |        698 |      6,594 |
| CSS            |          1 |        154 |          0 |         23 |        177 |
| TypeScript     |          3 |         53 |          8 |          9 |         70 |
+----------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                       | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Users/zaid/Bloom/bloom/src/components/Footer/Footer.tsx                                   | TypeScript JSX |         39 |          0 |          4 |         43 |
| /Users/zaid/Bloom/bloom/src/components/General/AppliedTable.tsx                            | TypeScript JSX |        132 |         20 |         19 |        171 |
| /Users/zaid/Bloom/bloom/src/components/General/JobsTable.tsx                               | TypeScript JSX |        138 |         18 |         19 |        175 |
| /Users/zaid/Bloom/bloom/src/components/General/SavedTable.tsx                              | TypeScript JSX |        134 |          0 |         15 |        149 |
| /Users/zaid/Bloom/bloom/src/components/General/Table.tsx                                   | TypeScript JSX |        139 |         18 |         16 |        173 |
| /Users/zaid/Bloom/bloom/src/components/GetStartedBanner/GetStarted.tsx                     | TypeScript JSX |         26 |          0 |          2 |         28 |
| /Users/zaid/Bloom/bloom/src/components/Input/Options.tsx                                   | TypeScript JSX |         19 |          0 |          2 |         21 |
| /Users/zaid/Bloom/bloom/src/components/Input/Text.tsx                                      | TypeScript JSX |         19 |          0 |          2 |         21 |
| /Users/zaid/Bloom/bloom/src/components/Jobs/FilterSidebar/FilterSidebar.tsx                | TypeScript JSX |         65 |          0 |          4 |         69 |
| /Users/zaid/Bloom/bloom/src/components/Jobs/JobCard/JobCard.tsx                            | TypeScript JSX |         54 |          1 |          6 |         61 |
| /Users/zaid/Bloom/bloom/src/components/Jobs/JobTag/JobTag.tsx                              | TypeScript JSX |         13 |          0 |          1 |         14 |
| /Users/zaid/Bloom/bloom/src/components/Jobs/MobileCard/MobileCard.tsx                      | TypeScript JSX |         39 |          1 |          3 |         43 |
| /Users/zaid/Bloom/bloom/src/components/Landing/Banner.tsx                                  | TypeScript JSX |         25 |          0 |          2 |         27 |
| /Users/zaid/Bloom/bloom/src/components/Landing/CategoryCard.tsx                            | TypeScript JSX |         28 |          0 |          6 |         34 |
| /Users/zaid/Bloom/bloom/src/components/Landing/CenterMode.tsx                              | TypeScript JSX |         40 |          7 |          2 |         49 |
| /Users/zaid/Bloom/bloom/src/components/Landing/EYNTK.tsx                                   | TypeScript JSX |         18 |          0 |          1 |         19 |
| /Users/zaid/Bloom/bloom/src/components/Landing/ExploreCategory.tsx                         | TypeScript JSX |         58 |          0 |          3 |         61 |
| /Users/zaid/Bloom/bloom/src/components/Landing/FeaturedCard.tsx                            | TypeScript JSX |         37 |          1 |          4 |         42 |
| /Users/zaid/Bloom/bloom/src/components/Landing/FeaturedJobs.tsx                            | TypeScript JSX |         57 |          0 |          3 |         60 |
| /Users/zaid/Bloom/bloom/src/components/Landing/ForSeekersRecruiters.tsx                    | TypeScript JSX |         61 |          0 |          4 |         65 |
| /Users/zaid/Bloom/bloom/src/components/Landing/Hero/Hero.tsx                               | TypeScript JSX |        102 |          0 |         14 |        116 |
| /Users/zaid/Bloom/bloom/src/components/Landing/HowItWorks.tsx                              | TypeScript JSX |         56 |         23 |          1 |         80 |
| /Users/zaid/Bloom/bloom/src/components/Landing/HowItWorks2.tsx                             | TypeScript JSX |         28 |          0 |          3 |         31 |
| /Users/zaid/Bloom/bloom/src/components/Landing/MoreReasons.tsx                             | TypeScript JSX |         24 |          0 |          1 |         25 |
| /Users/zaid/Bloom/bloom/src/components/Landing/QuestionsCard.tsx                           | TypeScript JSX |         38 |          0 |          5 |         43 |
| /Users/zaid/Bloom/bloom/src/components/Landing/ReasonCard.tsx                              | TypeScript JSX |         17 |          0 |          2 |         19 |
| /Users/zaid/Bloom/bloom/src/components/Landing/Testimonials.tsx                            | TypeScript JSX |         19 |          0 |          2 |         21 |
| /Users/zaid/Bloom/bloom/src/components/Loading/Loading.tsx                                 | TypeScript JSX |          8 |          0 |          0 |          8 |
| /Users/zaid/Bloom/bloom/src/components/Pricing/PricingCard.tsx                             | TypeScript JSX |         37 |          0 |          6 |         43 |
| /Users/zaid/Bloom/bloom/src/components/Pricing/PricingHero.tsx                             | TypeScript JSX |         40 |          0 |          9 |         49 |
| /Users/zaid/Bloom/bloom/src/components/Recruiter/Dashboard/Dashboard.tsx                   | TypeScript JSX |        109 |          3 |          9 |        121 |
| /Users/zaid/Bloom/bloom/src/components/Recruiter/Header/Header.tsx                         | TypeScript JSX |         82 |          0 |          6 |         88 |
| /Users/zaid/Bloom/bloom/src/components/Recruiter/JobListingCard/JobListingCard.tsx         | TypeScript JSX |         18 |          0 |          1 |         19 |
