"filename", "language", "TypeScript JSX", "CSS", "TypeScript", "comment", "blank", "total"
"/Users/zaid/Bloom/bloom/src/components/General/Table.tsx", "TypeScript JSX", 139, 0, 0, 18, 16, 173
"/Users/zaid/Bloom/bloom/src/components/GetStartedBanner/GetStarted.tsx", "TypeScript JSX", 26, 0, 0, 0, 2, 28
"/Users/zaid/Bloom/bloom/src/components/Input/Options.tsx", "TypeScript JSX", 19, 0, 0, 0, 2, 21
"/Users/zaid/Bloom/bloom/src/components/Input/Text.tsx", "TypeScript JSX", 19, 0, 0, 0, 2, 21
"/Users/zaid/Bloom/bloom/src/components/Jobs/FilterSidebar/FilterSidebar.tsx", "TypeScript JSX", 65, 0, 0, 0, 4, 69
"/Users/zaid/Bloom/bloom/src/components/Jobs/JobCard/JobCard.tsx", "TypeScript JSX", 54, 0, 0, 1, 6, 61
"/Users/zaid/Bloom/bloom/src/components/Jobs/JobTag/JobTag.tsx", "TypeScript JSX", 13, 0, 0, 0, 1, 14
"/Users/zaid/Bloom/bloom/src/components/Jobs/MobileCard/MobileCard.tsx", "TypeScript JSX", 39, 0, 0, 1, 3, 43
"/Users/zaid/Bloom/bloom/src/components/Landing/Banner.tsx", "TypeScript JSX", 25, 0, 0, 0, 2, 27
"/Users/zaid/Bloom/bloom/src/components/Landing/CategoryCard.tsx", "TypeScript JSX", 28, 0, 0, 0, 6, 34
"/Users/zaid/Bloom/bloom/src/components/Landing/CenterMode.tsx", "TypeScript JSX", 40, 0, 0, 7, 2, 49
"/Users/zaid/Bloom/bloom/src/components/Landing/EYNTK.tsx", "TypeScript JSX", 18, 0, 0, 0, 1, 19
"/Users/zaid/Bloom/bloom/src/components/Landing/ExploreCategory.tsx", "TypeScript JSX", 58, 0, 0, 0, 3, 61
"/Users/zaid/Bloom/bloom/src/components/Landing/FeaturedCard.tsx", "TypeScript JSX", 37, 0, 0, 1, 4, 42
"/Users/zaid/Bloom/bloom/src/components/Landing/FeaturedJobs.tsx", "TypeScript JSX", 57, 0, 0, 0, 3, 60
"/Users/zaid/Bloom/bloom/src/components/Landing/ForSeekersRecruiters.tsx", "TypeScript JSX", 61, 0, 0, 0, 4, 65
"/Users/zaid/Bloom/bloom/src/components/Landing/Hero/Hero.tsx", "TypeScript JSX", 102, 0, 0, 0, 14, 116
"/Users/zaid/Bloom/bloom/src/components/Landing/HowItWorks.tsx", "TypeScript JSX", 56, 0, 0, 23, 1, 80
"/Users/zaid/Bloom/bloom/src/components/Landing/HowItWorks2.tsx", "TypeScript JSX", 28, 0, 0, 0, 3, 31
"/Users/zaid/Bloom/bloom/src/components/Landing/MoreReasons.tsx", "TypeScript JSX", 24, 0, 0, 0, 1, 25
"/Users/zaid/Bloom/bloom/src/components/Landing/QuestionsCard.tsx", "TypeScript JSX", 38, 0, 0, 0, 5, 43
"/Users/zaid/Bloom/bloom/src/components/Landing/ReasonCard.tsx", "TypeScript JSX", 17, 0, 0, 0, 2, 19
"/Users/zaid/Bloom/bloom/src/components/Landing/Testimonials.tsx", "TypeScript JSX", 19, 0, 0, 0, 2, 21
"/Users/zaid/Bloom/bloom/src/components/Loading/Loading.tsx", "TypeScript JSX", 8, 0, 0, 0, 0, 8
"/Users/zaid/Bloom/bloom/src/components/Pricing/PricingCard.tsx", "TypeScript JSX", 37, 0, 0, 0, 6, 43
"/Users/zaid/Bloom/bloom/src/components/Pricing/PricingHero.tsx", "TypeScript JSX", 40, 0, 0, 0, 9, 49
"/Users/zaid/Bloom/bloom/src/components/Recruiter/Dashboard/Dashboard.tsx", "TypeScript JSX", 109, 0, 0, 3, 9, 121
"/Users/zaid/Bloom/bloom/src/components/Recruiter/Header/Header.tsx", "TypeScript JSX", 82, 0, 0, 0, 6, 88
"/Users/zaid/Bloom/bloom/src/components/Recruiter/JobListingCard/JobListingCard.tsx", "TypeScript JSX", 18, 0, 0, 0, 1, 19
"/Users/zaid/Bloom/bloom/src/components/Recruiter/Listing/ApplicantDisplay.tsx", "TypeScript JSX", 112, 0, 0, 0, 2, 114
"/Users/zaid/Bloom/bloom/src/components/Recruiter/Listing/Listing.tsx", "TypeScript JSX", 171, 0, 0, 1, 14, 186
"/Users/zaid/Bloom/bloom/src/components/Recruiter/RecruiterContent/EditInput.tsx", "TypeScript JSX", 10, 0, 0, 0, 2, 12
"/Users/zaid/Bloom/bloom/src/components/Recruiter/RecruiterContent/EditRecruiter.tsx", "TypeScript JSX", 172, 0, 0, 0, 15, 187
"/Users/zaid/Bloom/bloom/src/components/Recruiter/RecruiterContent/RecruiterContent.tsx", "TypeScript JSX", 74, 0, 0, 30, 11, 115
"/Users/zaid/Bloom/bloom/src/components/Recruiter/Sidebar/Sidebar.tsx", "TypeScript JSX", 44, 0, 0, 4, 5, 53
"/Users/zaid/Bloom/bloom/src/components/SignUp/LeftColomn/LeftColomn.tsx", "TypeScript JSX", 16, 0, 0, 0, 1, 17
"/Users/zaid/Bloom/bloom/src/components/SignUp/RightColomnSeeker/RightColomnSeeker.tsx", "TypeScript JSX", 264, 0, 0, 0, 29, 293
"/Users/zaid/Bloom/bloom/src/components/navbar/Navbar.tsx", "TypeScript JSX", 91, 0, 0, 4, 14, 109
"/Users/zaid/Bloom/bloom/src/components/ui/button.tsx", "TypeScript JSX", 51, 0, 0, 0, 6, 57
"/Users/zaid/Bloom/bloom/src/components/ui/card.tsx", "TypeScript JSX", 71, 0, 0, 0, 9, 80
"/Users/zaid/Bloom/bloom/src/components/ui/carousel.tsx", "TypeScript JSX", 232, 0, 0, 0, 31, 263
"/Users/zaid/Bloom/bloom/src/lib/CountryList/CountryList.tsx", "TypeScript JSX", 202, 0, 0, 0, 1, 203
"/Users/zaid/Bloom/bloom/src/lib/Signout/Signout.tsx", "TypeScript JSX", 7, 0, 0, 0, 3, 10
"/Users/zaid/Bloom/bloom/src/lib/Years/Years.tsx", "TypeScript JSX", 7, 0, 0, 0, 3, 10
"/Users/zaid/Bloom/bloom/src/lib/getAJob/getAJob.tsx", "TypeScript JSX", 14, 0, 0, 0, 3, 17
"/Users/zaid/Bloom/bloom/src/lib/getCompany/getCompany.tsx", "TypeScript JSX", 12, 0, 0, 0, 2, 14
"/Users/zaid/Bloom/bloom/src/lib/getJobs/getJobs.tsx", "TypeScript JSX", 17, 0, 0, 0, 3, 20
"/Users/zaid/Bloom/bloom/src/lib/getUser/getUser.tsx", "TypeScript JSX", 10, 0, 0, 0, 1, 11
"/Users/zaid/Bloom/bloom/src/lib/utils.ts", "TypeScript", 0, 0, 5, 0, 2, 7
"Total", "-", 5722, 154, 53, 182, 730, 6841
